id|sub_cat_id|company_name_cn
005-018-515|005-018|長江德發中西藥房
005-018-516|005-018|欣榮大藥房
005-018-517|005-018|富盈大藥房
005-018-518|005-018|嘉華參茸中西大藥房
005-018-519|005-018|保寧藥房
005-018-520|005-018|大鵬中西藥房
005-018-521|005-018|聯城中西大藥房
005-018-522|005-018|仁康中西藥房
005-018-523|005-018|永寧西藥房
005-018-524|005-018|恒興中西藥房
005-018-525|005-018|信譽環球藥房
005-018-526|005-018|新輝大藥房
005-018-527|005-018|和豐藥房
005-018-528|005-018|聯益中西藥房
005-018-529|005-018|屯門藥房
005-018-530|005-018|東亞藥房
005-018-531|005-018|東亞大藥房
005-018-532|005-018|華興中西藥房
005-018-533|005-018|新兆和西藥房
005-018-534|005-018|健安西藥房
005-018-535|005-018|新明藥房
005-018-536|005-018|長春參茸中西藥房
005-018-537|005-018|富城中西大藥房
005-018-538|005-018|德仁中西大藥房
005-018-539|005-018|智生大藥房
005-018-540|005-018|志成大藥房
005-018-541|005-018|百鍵(香港)藥房
005-018-542|005-018|一寶藥房及保健中心
005-018-543|005-018|長城國產藥業西藥房
005-018-544|005-018|歐冠大藥房
005-018-545|005-018|寶康藥房
005-018-546|005-018|新城中西藥房
005-018-547|005-018|新都城中西藥房
005-018-548|005-018|新城藥房
005-018-549|005-018|國城大藥房
005-018-550|005-018|智文藥房（沙田）
005-018-551|005-018|智文藥房（屯門）
005-018-552|005-018|智文藥房（元朗）
005-018-553|005-018|榮華參茸中西藥房（沙田）
005-018-554|005-018|榮華參茸中西藥房（荃灣)
005-018-555|005-018|榮華參茸中西藥房(將軍澳尚德邨)
005-018-556|005-018|榮華参茸中西藥房(葵涌)
005-018-557|005-018|榮華參茸中西藥房(將軍澳厚德邨)
005-018-558|005-018|榮華參茸中西藥房(天水圍)
005-018-559|005-018|榮華參茸中西藥房(將軍澳PopCorn)
005-018-560|005-018|富明中西藥房
005-018-561|005-018|冠華西藥房
005-018-562|005-018|仁安大藥房
005-018-563|005-018|港城中西大藥房
005-018-564|005-018|冠文西藥房
005-018-565|005-018|冠生中西大藥房
005-018-566|005-018|冠誠西藥房
005-018-567|005-018|金安參茸藥房
005-018-568|005-018|榮健藥房
005-018-569|005-018|利康中西藥房
005-018-570|005-018|康城西藥房
005-018-571|005-018|嘉城西藥房
005-018-572|005-018|名譽藥房
005-018-573|005-018|恒威大藥房
005-018-574|005-018|荃威大藥房
005-018-575|005-018|新宏興中西藥房
005-018-576|005-018|達城大藥房(沙田）
005-018-577|005-018|達城大藥房（粉嶺）
005-018-578|005-018|中正藥房
005-018-579|005-018|萬順安粧藥
005-018-580|005-018|華興大藥房
005-018-581|005-018|志成大藥房
005-018-582|005-018|寶健大藥房
005-018-583|005-018|華氏大藥房
005-018-584|005-018|金安美藥
005-018-585|005-018|道安(富榮)藥房
005-018-586|005-018|聯誠大藥房化粧品
005-018-587|005-018|新利西藥房
005-018-588|005-018|文康大藥房
005-018-589|005-018|駿宏參茸中西藥房
005-018-590|005-018|宏鍵藥房
005-018-591|005-018|大德藥房
005-018-592|005-018|龍豐藥房（元朗）
005-018-593|005-018|龍豐藥房（粉嶺)
005-018-594|005-018|龍豐藥房(上水)
005-018-595|005-018|莉滿藥房(安寧路)
005-018-596|005-018|莉滿藥房(壽富街)
005-018-597|005-018|寶萊大藥房
005-018-598|005-018|尚德藥房
005-018-599|005-018|廣誠大藥房
005-018-600|005-018|和田藥妝
005-018-601|005-018|卓興西藥房
005-019-602|005-019|農本方
005-019-603|005-019|華潤堂
005-019-604|005-019|余仁生
005-019-605|005-019|南北行
005-019-606|005-019|東方紅
005-020-607|005-020|中原電器
005-020-608|005-020|Panasonic 陳列室 / 人気电器店 / PanaShop
005-020-609|005-020|張毛記電業
005-020-610|005-020|百老滙電器
005-020-611|005-020|衛訊電訊
005-020-612|005-020|豐澤電器
005-020-613|005-020|領域電訊
005-020-614|005-020|香港蘇寧
005-021-615|005-021|宜家家居
005-021-616|005-021|無印良品
005-021-617|005-021|實惠
005-021-618|005-021|Tree
005-021-619|005-021|Thorn and Burrow
005-021-620|005-021|Decor8
005-021-621|005-021|Bamboa Home
005-021-622|005-021|Stockroom
005-021-623|005-021|Francfranc
005-021-624|005-021|iDecorate
005-021-625|005-021|住好D
005-021-626|005-021|Homeless
005-021-627|005-021|歐化傢俬
005-021-628|005-021|Fika
005-021-629|005-021|Indigo Living
005-021-630|005-021|帝家設計
005-021-631|005-021|KUKA HOME
005-021-632|005-021|法比梳化設計
005-021-633|005-021|Sofasogood
005-021-634|005-021|原木生活
005-021-635|005-021|at. home
005-021-636|005-021|茲曼尼
005-021-637|005-021|名華軒
005-021-638|005-021|家匠
005-022-639|005-022|Dan Ryans Chicago Grill
005-022-640|005-022|Cali-Mex Bar & Grill
005-022-641|005-022|Ruth's Chris Steak House
005-022-642|005-022|Ruby Tuesday
005-022-643|005-022|Elephant Grounds
005-022-644|005-022|Pizza Express
005-022-645|005-022|Amaronis
005-022-646|005-022|Pirata Group
005-022-647|005-022|Zuma
005-022-648|005-022|Thai Orchids
005-022-649|005-022|大家樂集團‎
005-022-650|005-022|敍福樓
005-022-651|005-022|麥當勞
005-022-652|005-022|稻香集團
005-022-653|005-022|Outback
005-022-654|005-022|豚王
005-022-655|005-022|1957 & Co.
005-022-656|005-022|Black Sheep Restaurants
005-022-657|005-022|佳民集團 (都爹利會館)
005-022-658|005-022|Aqua Restaurant Group
005-022-659|005-022|喫麵 / 劉一手重慶火鍋 / 王家沙花樣年華
005-022-660|005-022|Subway
005-022-661|005-022|大喜屋
005-022-662|005-022|大快活
005-022-663|005-022|太興集團
005-022-664|005-022|富臨集團
005-022-665|005-022|肯德基
005-022-666|005-022|必勝客
005-022-667|005-022|Italian Tomato
005-022-668|005-022|美心集團
005-022-669|005-022|翠華餐廳集團
005-022-670|005-022|譚仔 / 譚仔三哥
005-023-671|005-023|Addidas
005-023-672|005-023|BigPack
005-023-673|005-023|Catalog
005-023-674|005-023|Champion
005-023-675|005-023|Columbia
005-023-676|005-023|迪卡儂
005-023-677|005-023|Fila
005-023-678|005-023|Foot Locker
005-023-679|005-023|K Swiss
005-023-680|005-023|LuluLemon
005-023-681|005-023|馬拉松
005-023-682|005-023|New Balance
005-023-683|005-023|Nike
005-023-684|005-023|Onitsuka Tiger
005-023-685|005-023|Patagonia
005-023-686|005-023|保捷行
005-023-687|005-023|Puma
005-023-688|005-023|Skechers
005-023-689|005-023|運動家
005-023-690|005-023|Sweaty Betty
005-023-691|005-023|The North Face
005-023-692|005-023|The Overlander
005-023-693|005-023|Timberland
005-023-694|005-023|Vans
005-023-695|005-023|允記
005-024-696|005-024|% Arabica
005-024-697|005-024|十八克精品咖啡
005-024-698|005-024|Blue Bottle
005-024-699|005-024|Flash Coffee
005-024-700|005-024|Fuel Espresso
005-024-701|005-024|NOC Coffee Co.
005-024-702|005-024|太平洋咖啡
005-024-703|005-024|星巴克
005-024-704|005-024|The Coffee Academics
005-025-705|005-025|戶戶送
005-025-706|005-025|Food Panda
006-026-707|006-026|四洲集團‎
006-026-708|006-026|九龍醬園
006-026-709|006-026|優之良品
006-026-710|006-026|同珍醬油
006-026-711|006-026|嘉頓
006-026-712|006-026|壽桃牌
006-026-713|006-026|大成糖業
006-026-714|006-026|永南食品 （公仔麵、公仔點心）
006-026-715|006-026|榮華
006-026-716|006-026|波仔
006-026-717|006-026|淘大食品
006-026-718|006-026|華園食品
006-026-719|006-026|超力
006-026-720|006-026|金源米業
006-026-721|006-026|雀巢牛奶公司
006-026-722|006-026|美心食品‎
006-026-723|006-026|日清
006-026-724|006-026|灣仔碼頭
006-026-725|006-026|獅球嘜
006-026-726|006-026|美味棧
006-026-727|006-026|李錦記
006-026-728|006-026|奇華
006-026-729|006-026|Agnès b DÉLICES Hong Kong Ltd.
006-026-730|006-026|優之良品有限公司
006-026-731|006-026|慎昌有限公司
006-026-732|006-026|吉百利四洲有限公司
006-026-733|006-026|COVA Hong Kong
006-026-734|006-026|瑪氏
006-026-735|006-026|費列羅亞洲有限公司
006-026-736|006-026|福基國際工業股份有限公司
006-026-737|006-026|Godiva Chocolatier (Asia) Ltd.
006-026-738|006-026|Hershey's 好時
006-026-739|006-026|Leonidas
006-026-740|006-026|龍島食品有限公司
006-026-741|006-026|LF Asia (Hong Kong) Limited (Merci)
006-026-742|006-026|無印良品（香港）有限公司
006-026-743|006-026|價真棧有限公司
006-026-744|006-026|卡夫食品有限公司(香港)
006-026-745|006-026|四海環球食品
006-027-746|006-027|illy
006-027-747|006-027|屈臣氏蒸餾水
006-027-748|006-027|太古可口可樂
006-027-749|006-027|三得利食品飲料香港有限公司
006-027-750|006-027|維他 / 維他奶
006-027-751|006-027|益力多
006-027-752|006-027|鴻福堂
006-027-753|006-027|捷榮
006-027-754|006-027|匯泉國際
006-027-755|006-027|寶礦力
006-027-756|006-027|立頓
006-028-757|006-028|利潔時
006-028-758|006-028|威露士
